,2,3,4,5,6,9,10,11,12,13,14,15,16,echo_mean,echo_std,echo_max,echo_cont_mean,echo_cont_median,echo_cont_std,echo_cont_max,shadow_mean,shadow_median,shadow_std,shadow_min,shadow_max,target
105,7,0,0,107,54,245,14,0,71,50,126,28,11,0.0,0.0,0,71.0,19.5,116.57043650371507,245,84.25,80.5,38.07339403485501,50,126,0
106,6,0,0,99,8,196,15,0,70,40,106,14,5,0.0,0.0,0,53.75,9.5,95.01008718376521,196,63.25,69.5,47.25374764679164,8,106,0
107,0,0,0,115,0,158,43,0,57,33,92,13,28,1.25,2.5,5,49.75,20.5,73.06789080483072,158,60.0,62.5,52.84568730432661,0,115,0
108,0,0,0,104,29,143,25,0,37,28,90,0,21,0.0,0.0,0,41.0,10.5,68.71681017043792,143,62.75,59.5,39.9614397471696,28,104,0
109,0,0,0,87,73,144,7,0,7,26,98,2,21,0.0,0.0,0,41.75,11.5,68.82041848172678,144,71.0,80.0,31.696477196475108,26,98,0
110,0,0,0,79,95,140,21,0,0,30,108,0,3,0.0,0.0,0,35.75,1.5,69.51438700010236,140,78.0,87.0,34.1272129929572,30,108,0
111,0,0,0,146,98,139,21,0,0,34,113,20,10,0.0,0.0,0,42.25,15.0,65.01474191801938,139,97.75,105.5,46.99202059924642,34,146,0
112,0,0,0,224,93,122,37,0,0,38,109,53,31,0.0,0.0,0,51.5,42.0,51.7848111579705,122,116.0,101.0,78.15795971407306,38,224,1
113,0,0,0,232,96,157,60,0,0,41,89,41,37,0.0,0.0,0,58.75,39.0,68.05083883881716,157,114.5,92.5,82.0589219199635,41,232,0
114,0,0,0,185,101,166,51,0,0,50,74,44,68,1.75,3.5,7,69.5,56.0,70.22582620850157,166,102.5,87.5,58.81326381013045,50,185,0
115,0,0,0,122,87,132,54,0,0,61,61,72,96,8.75,11.05667219374799,23,75.0,84.0,55.749439459065414,132,82.75,74.0,28.894924583162812,61,122,0
116,0,0,0,117,52,96,82,0,0,67,51,92,144,17.75,22.89650628371062,48,83.0,94.0,60.166435825965294,144,71.75,59.5,31.041638702448253,51,117,0
117,0,0,0,116,18,36,72,0,2,65,55,120,189,27.75,34.7598906787694,72,86.25,78.0,84.97205422961127,189,63.5,60.0,40.418642563384864,18,116,0
118,0,0,0,107,17,18,40,0,0,50,68,156,233,38.75,46.97073557013984,95,101.75,87.0,111.85816912501295,233,60.5,59.0,37.5099986670221,17,107,0
119,0,0,0,105,45,30,37,0,3,32,87,161,255,43.5,53.91660226683428,111,111.5,95.5,118.48628612628552,255,67.25,66.0,34.41293361513953,32,105,0
120,0,0,0,98,71,25,34,0,0,13,112,162,255,46.5,59.016946718718,123,110.5,93.5,119.7956593537512,255,73.5,84.5,43.77594468807422,13,112,0
121,0,0,0,82,64,30,28,0,0,2,143,163,255,45.0,56.13079962611139,116,112.0,96.5,118.76868274086398,255,72.75,73.0,58.030882582753584,2,143,0
122,0,0,0,65,70,5,47,0,5,1,168,134,248,38.25,49.92243984422236,105,96.75,69.5,118.38179758729802,248,76.0,67.5,68.9105700648795,1,168,0
123,0,0,0,52,84,10,83,0,11,22,178,136,205,33.0,40.554490092549145,83,87.75,73.0,99.70080240399271,205,84.0,68.0,67.58698099486321,22,178,0
124,0,0,11,67,91,14,110,0,0,45,178,107,162,23.5,29.444863728670914,61,70.75,60.5,77.17242599098032,162,95.25,79.0,58.27735409230587,45,178,0
125,0,0,18,88,119,11,132,0,0,59,180,87,127,15.75,19.771612647092464,41,56.25,49.0,60.999316936066315,127,111.5,103.5,51.82341812990211,59,180,0
126,0,0,20,114,143,10,131,0,0,65,178,61,72,4.5,5.446711546122731,11,35.75,35.5,36.021984028275476,72,125.0,128.5,47.798186855430686,65,178,0
127,0,0,0,131,157,9,81,0,20,63,174,52,33,0.25,0.5,1,23.5,21.0,23.558437978779494,52,131.25,144.0,48.81512743675537,63,174,0
128,0,0,0,124,178,39,69,0,52,53,172,73,28,3.0,6.0,12,35.0,33.5,30.18829795356693,73,131.75,148.0,57.79489596841576,53,178,0
129,0,0,0,107,192,60,68,0,53,47,169,52,6,0.0,0.0,0,29.5,29.0,30.870698080866262,60,128.75,138.0,65.26037593108597,47,192,0
130,0,0,0,78,208,74,43,0,34,48,170,17,0,0.0,0.0,0,22.75,8.5,35.09392160094584,74,126.0,124.0,75.38346414610213,48,208,0
