0,echo1,echo2,echo3,echo4,shadow5,shadow6,echo7,echo8,echo-contact9,echo-contact10,echo-contact11,echo-contact12,shadow13,shadow14,echo-contact15,echo-contact16
669,0,0,54,0,99,149,0,0,140,33,0,6,0,166,18,22
670,0,0,63,0,83,132,0,0,150,79,0,24,2,137,5,20
671,0,0,68,0,101,75,0,0,160,48,0,20,24,91,0,9
672,0,0,47,0,51,29,0,0,126,54,0,35,67,67,0,0
673,0,0,12,0,45,0,0,0,97,66,0,57,74,58,0,4
674,0,5,23,0,78,9,0,0,85,78,0,65,56,57,0,6
675,0,16,15,4,90,23,0,0,72,94,0,86,43,72,12,1
676,0,24,21,21,96,28,0,0,80,134,0,100,43,103,0,1
677,0,25,25,36,98,28,0,0,122,174,0,101,47,122,10,5
678,0,16,42,70,102,30,0,0,119,247,0,83,50,134,15,0
679,0,0,48,91,95,25,0,0,128,255,0,45,39,134,10,0
680,0,0,50,91,57,27,0,0,132,255,0,23,38,123,0,0
681,0,0,70,74,29,38,0,0,167,254,0,0,41,108,0,0
682,0,0,73,55,76,27,0,0,171,215,0,0,50,112,0,0
683,0,0,46,55,150,10,0,0,163,213,0,0,68,133,0,2
684,0,0,53,67,144,21,0,0,136,242,0,0,94,155,0,15
685,0,0,67,77,78,29,0,0,182,255,0,0,108,174,1,22
686,0,0,45,67,92,29,0,0,124,242,0,0,116,168,6,38
687,0,0,58,64,101,30,5,0,143,238,0,0,115,162,8,28
688,0,0,48,33,113,29,0,0,124,157,0,3,111,153,1,32
689,0,0,53,0,178,24,0,0,136,62,0,12,101,125,0,40
690,0,0,117,0,180,3,0,11,248,32,0,20,91,103,0,75
691,0,0,148,0,140,7,0,3,255,20,0,14,81,93,0,58
692,0,0,117,0,110,11,0,0,243,13,0,2,74,78,63,31
693,0,7,89,0,101,19,0,0,199,15,0,0,71,74,2,32
694,0,0,65,0,96,33,0,0,154,31,0,0,68,66,0,31
695,0,0,51,0,104,39,0,0,129,40,0,0,66,63,0,29
696,0,0,36,0,115,47,0,0,106,34,0,0,57,67,0,21
697,0,0,42,0,109,92,0,0,116,34,0,0,63,70,0,7
698,0,0,60,0,107,136,0,0,151,37,0,0,66,78,1,2
699,0,0,62,0,137,164,0,0,153,31,0,0,63,83,0,2
700,0,0,42,0,165,190,0,0,120,23,0,0,54,92,0,8
701,0,0,48,0,190,197,0,0,127,20,0,0,35,98,0,50
702,0,0,60,0,187,194,0,0,147,16,0,3,16,106,0,50
703,0,0,64,0,126,196,0,0,158,25,0,2,0,111,4,34
704,0,0,73,12,88,226,0,0,169,22,0,0,0,115,14,21
705,0,0,74,0,91,255,0,0,170,11,0,0,0,117,0,9
706,0,0,68,0,102,255,0,0,160,13,0,0,0,117,0,22
707,0,0,65,0,100,255,0,0,155,38,0,0,23,115,0,33
708,0,0,58,0,104,255,0,0,143,41,0,0,64,121,0,21
709,0,0,48,0,110,255,0,0,125,19,0,0,90,133,0,29
710,0,0,33,0,70,252,0,0,100,0,0,2,101,138,0,45
711,0,0,29,0,33,229,0,0,94,0,0,31,98,140,0,36
712,0,0,35,0,33,222,0,0,106,0,0,30,92,125,0,35
713,0,0,44,0,44,248,0,0,125,6,0,5,85,108,1,28
